net,length_um
net44,321.46µm
net41,234.94µm
net37,193.6µm
clknet_2_2__leaf_clk_i,192.89µm
net43,191.72µm
net39,187.59µm
clknet_2_1__leaf_clk_i,176.14µm
clknet_2_0__leaf_clk_i,167.74µm
net42,167.69µm
clknet_2_3__leaf_clk_i,137.6µm
_124_,130.07µm
clk_i,128.66µm
CS\[1\],113.78µm
_111_,110.93µm
baud_cnt\[6\],109.4µm
baud_cnt\[11\],105.43µm
baud_cnt\[7\],98.15µm
net19,98.05µm
baud_cnt\[2\],97.64µm
reg_rx_sync\[2\],89.8µm
baud_cnt\[8\],84.2µm
baud_cnt\[3\],82.98µm
baud_cnt\[10\],82.32µm
clknet_0_clk_i,80.69µm
baud_cnt\[0\],79.26µm
bit_done,78.04µm
CS\[2\],77.94µm
baud_cnt\[5\],77.38µm
net24,77.38µm
baud_cnt\[9\],76.87µm
net17,76.21µm
net16,75.6µm
_066_,70.71µm
_153_,70.66µm
net11,69.03µm
net38,68.93µm
net2,66.79µm
_040_,64.45µm
baud_cnt\[15\],63.94µm
_161_,63.38µm
net1,62.87µm
net12,62.82µm
baud_cnt\[12\],61.7µm
_067_,60.58µm
_094_,57.68µm
_115_,56.05µm
_045_,55.13µm
net40,54.47µm
_043_,52.69µm
_065_,51.72µm
baud_cnt\[1\],51.11µm
baud_cnt\[14\],51.06µm
net14,49.33µm
CS\[0\],47.75µm
net34,47.09µm
_076_,46.53µm
net18,45.92µm
_138_,44.29µm
net5,44.24µm
_083_,43.73µm
_150_,43.73µm
net32,43.73µm
net13,41.59µm
net33,40.98µm
baud_cnt\[13\],39.86µm
net30,39.3µm
net4,38.79µm
net29,38.13µm
_178_,35.89µm
reg_bit_count,35.89µm
_048_,33.04µm
_093_,33.04µm
_108_,32.07µm
r_error_parity,31.97µm
net8,31.92µm
_119_,31.46µm
_149_,30.85µm
_039_,30.8µm
_134_,30.39µm
net31,30.39µm
_059_,29.83µm
_052_,28.71µm
_090_,28.56µm
_099_,28.56µm
rx_data_o[3],28.535µm
_175_,28.1µm
parity_bit,26.98µm
reg_rx_sync\[1\],26.93µm
_106_,24.23µm
_156_,24.13µm
_049_,24.08µm
_173_,23.57µm
_140_,23.52µm
rx_i,22.82µm
rx_data_o[4],22.535µm
_109_,22.5µm
rx_data_o[2],22.485µm
_018_,22.4µm
cfg_div_i[8],22.375µm
cfg_div_i[3],22.26µm
_020_,21.99µm
_142_,21.94µm
_091_,21.84µm
_055_,20.82µm
_107_,20.26µm
net6,20.26µm
_074_,20.16µm
_131_,19.7µm
_100_,19.6µm
cfg_div_i[13],19.46µm
rstn_i,19.125µm
char_event_o,19.125µm
rx_data_o[1],19.125µm
net15,19.09µm
_053_,19.04µm
cfg_parity_en_i,18.565µm
_128_,18.48µm
_047_,18.02µm
net20,18.02µm
net35,17.41µm
_071_,17.36µm
net25,17.36µm
_041_,16.9µm
_021_,16.85µm
_092_,16.8µm
rx_data_o[7],16.325µm
_035_,16.29µm
_163_,16.29µm
rx_ready_i,15.765µm
err_overflow_o,15.765µm
_001_,15.73µm
net36,15.73µm
_077_,15.68µm
_081_,15.68µm
baud_cnt\[4\],15.68µm
err_parity_o,15.205µm
rx_data_o[5],15.205µm
_029_,15.17µm
_058_,15.17µm
net28,15.17µm
_145_,15.12µm
cfg_div_i[9],14.98µm
_096_,14.61µm
net21,14.56µm
_044_,14.1µm
_050_,14.1µm
net10,14.1µm
cfg_bits_i[1],14.085µm
rx_data_o[0],14.085µm
net7,13.54µm
_011_,13.49µm
_098_,13.49µm
cfg_div_i[6],13.3µm
_056_,12.98µm
net9,12.98µm
cfg_en_i,12.965µm
_089_,12.93µm
_008_,12.88µm
_046_,12.88µm
cfg_div_i[10],12.74µm
_054_,12.37µm
net22,12.37µm
_075_,12.32µm
_166_,12.32µm
_174_,12.32µm
_179_,12.32µm
cfg_div_i[7],11.845µm
_088_,11.81µm
cfg_div_i[12],11.62µm
cfg_div_i[14],11.62µm
_151_,11.35µm
busy_o,11.285µm
rx_data_o[6],11.285µm
_026_,11.25µm
cfg_div_i[15],11.06µm
cfg_bits_i[0],10.725µm
_034_,10.69µm
_013_,10.64µm
_085_,10.64µm
cfg_div_i[0],10.5µm
_110_,10.18µm
_030_,10.13µm
_133_,10.13µm
_070_,10.08µm
_078_,10.08µm
net3,10.08µm
cfg_div_i[5],9.94µm
_103_,9.62µm
_154_,9.57µm
cfg_div_i[11],9.38µm
cfg_div_i[4],9.38µm
rx_valid_o,9.045µm
_031_,8.96µm
_062_,8.96µm
cfg_div_i[1],8.87µm
cfg_div_i[2],8.87µm
_113_,8.55µm
net26,8.45µm
_002_,8.4µm
net23,7.99µm
_060_,7.89µm
_114_,7.89µm
_009_,7.84µm
_017_,7.84µm
_033_,7.84µm
_063_,7.84µm
_086_,7.38µm
_032_,7.33µm
_105_,7.33µm
_068_,7.28µm
_087_,7.28µm
_157_,7.28µm
_118_,6.82µm
_022_,6.77µm
_004_,6.72µm
_014_,6.72µm
_023_,6.72µm
_028_,6.72µm
_101_,6.72µm
_143_,6.72µm
_146_,6.72µm
_159_,6.72µm
_038_,6.26µm
_051_,6.21µm
