Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_250,VDD,Metal1,147.0000,152.8800,4.999988
FILLER_35_248,VDD,Metal1,146.1600,152.8800,4.999988
FILLER_35_240,VDD,Metal1,143.8665,153.4565,4.999988
FILLER_35_206,VDD,Metal1,127.1680,153.5720,4.999988
FILLER_35_188,VDD,Metal1,117.0880,153.5720,4.999988
FILLER_35_138,VDD,Metal1,93.6355,153.6485,4.999990
FILLER_35_104,VDD,Metal1,70.0480,153.5720,4.999990
FILLER_35_70,VDD,Metal1,55.5555,153.6485,4.999991
FILLER_35_36,VDD,Metal1,36.5155,153.6485,4.999991
FILLER_35_2,VDD,Metal1,17.4755,153.6485,4.999992
FILLER_34_247,VDD,Metal1,146.5400,152.4475,4.999988
FILLER_34_213,VDD,Metal1,131.0880,152.1880,4.999988
FILLER_34_193,VDD,Metal1,116.3000,152.4475,4.999988
FILLER_34_173,VDD,Metal1,104.1600,152.8800,4.999990
FILLER_34_169,VDD,Metal1,102.8600,152.4475,4.999990
FILLER_34_153,VDD,Metal1,92.6800,152.8800,4.999990
FILLER_34_151,VDD,Metal1,91.8400,152.8800,4.999990
FILLER_34_147,VDD,Metal1,90.5400,152.4475,4.999990
FILLER_34_139,VDD,Metal1,87.3065,152.3030,4.999990
FILLER_34_107,VDD,Metal1,76.2755,152.1110,4.999990
FILLER_34_101,VDD,Metal1,64.7800,152.4475,4.999991
FILLER_34_37,VDD,Metal1,46.0750,152.0655,4.999991
FILLER_34_34,VDD,Metal1,26.0400,152.8800,4.999991
FILLER_34_2,VDD,Metal1,17.4755,152.1110,4.999992
FILLER_33_214,VDD,Metal1,126.8400,145.0400,4.999851
FILLER_33_212,VDD,Metal1,126.0000,145.0400,4.999851
FILLER_33_206,VDD,Metal1,123.5800,145.4725,4.999851
FILLER_33_198,VDD,Metal1,120.3465,145.6165,4.999851
FILLER_33_158,VDD,Metal1,96.7000,145.4725,4.999851
FILLER_33_142,VDD,Metal1,91.3280,145.7320,4.999851
FILLER_33_136,VDD,Metal1,84.3800,145.4725,4.999851
FILLER_33_72,VDD,Metal1,65.6750,145.8540,4.999856
FILLER_33_66,VDD,Metal1,45.1800,145.4725,4.999857
FILLER_33_2,VDD,Metal1,26.4750,145.8540,4.999857
FILLER_32_247,VDD,Metal1,146.5400,144.6075,4.999851
FILLER_32_243,VDD,Metal1,143.3600,145.0400,4.999851
FILLER_32_239,VDD,Metal1,142.0600,144.6075,4.999851
FILLER_32_187,VDD,Metal1,111.7200,145.0400,4.999851
FILLER_32_185,VDD,Metal1,110.8800,145.0400,4.999851
FILLER_32_177,VDD,Metal1,108.5865,144.4630,4.999851
FILLER_32_171,VDD,Metal1,103.9800,144.6075,4.999851
FILLER_32_131,VDD,Metal1,81.5800,144.6075,4.999856
FILLER_32_123,VDD,Metal1,78.3465,144.4630,4.999856
FILLER_32_107,VDD,Metal1,71.7280,144.3480,4.999856
FILLER_32_104,VDD,Metal1,65.2400,145.0400,4.999856
FILLER_32_100,VDD,Metal1,64.2200,144.6075,4.999856
FILLER_32_64,VDD,Metal1,43.1200,145.0400,4.999857
FILLER_32_60,VDD,Metal1,41.8200,144.6075,4.999857
FILLER_32_44,VDD,Metal1,36.4480,144.3480,4.999857
FILLER_32_37,VDD,Metal1,27.7200,145.0400,4.999857
FILLER_32_34,VDD,Metal1,26.0400,145.0400,4.999857
FILLER_32_2,VDD,Metal1,17.4755,144.2710,4.999857
FILLER_31_250,VDD,Metal1,147.0000,137.2000,4.999898
FILLER_31_248,VDD,Metal1,146.1600,137.2000,4.999898
FILLER_31_244,VDD,Metal1,144.8600,137.6325,4.999898
FILLER_31_212,VDD,Metal1,135.0755,137.9685,4.999898
FILLER_31_206,VDD,Metal1,123.5800,137.6325,4.999898
FILLER_31_190,VDD,Metal1,113.4000,137.2000,4.999898
FILLER_31_188,VDD,Metal1,112.5600,137.2000,4.999898
FILLER_31_180,VDD,Metal1,110.2665,137.7765,4.999898
FILLER_31_164,VDD,Metal1,98.8400,137.2000,4.999898
FILLER_31_162,VDD,Metal1,98.0000,137.2000,4.999898
FILLER_31_158,VDD,Metal1,96.7000,137.6325,4.999898
FILLER_31_142,VDD,Metal1,91.3280,137.8920,4.999898
FILLER_31_139,VDD,Metal1,84.8400,137.2000,4.999898
FILLER_31_123,VDD,Metal1,80.6880,137.8920,4.999898
FILLER_31_91,VDD,Metal1,67.3155,137.9685,4.999898
FILLER_31_74,VDD,Metal1,48.4400,137.2000,4.999906
FILLER_31_72,VDD,Metal1,47.6000,137.2000,4.999906
FILLER_31_69,VDD,Metal1,45.6400,137.2000,4.999910
FILLER_31_67,VDD,Metal1,44.8000,137.2000,4.999910
FILLER_31_32,VDD,Metal1,24.9200,137.2000,4.999914
FILLER_31_30,VDD,Metal1,24.0800,137.2000,4.999914
FILLER_31_26,VDD,Metal1,22.7800,137.6325,4.999914
FILLER_31_18,VDD,Metal1,19.5465,137.7765,4.999914
FILLER_31_2,VDD,Metal1,12.9280,137.8920,4.999914
FILLER_30_247,VDD,Metal1,146.5400,136.7675,4.999898
FILLER_30_241,VDD,Metal1,143.1800,136.7675,4.999898
FILLER_30_233,VDD,Metal1,139.9465,136.6230,4.999898
