Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_250,VSS,Metal1,147.0000,156.8000,0.000013
FILLER_35_248,VSS,Metal1,146.1600,156.8000,0.000013
FILLER_35_240,VSS,Metal1,142.8530,156.3380,0.000013
FILLER_35_206,VSS,Metal1,125.9520,156.2520,0.000013
FILLER_35_188,VSS,Metal1,115.8720,156.2520,0.000013
FILLER_35_138,VSS,Metal1,92.2840,156.2020,0.000012
FILLER_35_104,VSS,Metal1,68.8320,156.2520,0.000010
FILLER_35_70,VSS,Metal1,54.2040,156.2020,0.000010
FILLER_35_36,VSS,Metal1,35.1640,156.2020,0.000009
FILLER_35_2,VSS,Metal1,16.1240,156.2020,0.000008
FILLER_34_247,VSS,Metal1,145.7800,149.3085,0.000068
FILLER_34_213,VSS,Metal1,129.8720,149.5080,0.000068
FILLER_34_193,VSS,Metal1,115.5400,149.3085,0.000064
FILLER_34_173,VSS,Metal1,104.1600,148.9600,0.000064
FILLER_34_169,VSS,Metal1,102.1000,149.3085,0.000064
FILLER_34_153,VSS,Metal1,92.6800,148.9600,0.000063
FILLER_34_151,VSS,Metal1,91.8400,148.9600,0.000063
FILLER_34_147,VSS,Metal1,89.7800,149.3085,0.000063
FILLER_34_139,VSS,Metal1,86.2930,149.4215,0.000063
FILLER_34_107,VSS,Metal1,74.9240,149.5575,0.000059
FILLER_34_101,VSS,Metal1,64.0200,149.3085,0.000059
FILLER_34_37,VSS,Metal1,44.6445,149.5975,0.000059
FILLER_34_34,VSS,Metal1,26.0400,148.9600,0.000059
FILLER_34_2,VSS,Metal1,16.1240,149.5575,0.000059
FILLER_33_214,VSS,Metal1,126.8400,148.9600,0.000068
FILLER_33_212,VSS,Metal1,126.0000,148.9600,0.000066
FILLER_33_206,VSS,Metal1,122.8200,148.6110,0.000066
FILLER_33_198,VSS,Metal1,119.3330,148.4980,0.000066
FILLER_33_158,VSS,Metal1,95.9400,148.6110,0.000063
FILLER_33_142,VSS,Metal1,90.1120,148.4120,0.000063
FILLER_33_136,VSS,Metal1,83.6200,148.6110,0.000060
FILLER_33_72,VSS,Metal1,64.2445,148.3220,0.000059
FILLER_33_66,VSS,Metal1,44.4200,148.6110,0.000059
FILLER_33_2,VSS,Metal1,25.0445,148.3220,0.000059
FILLER_32_247,VSS,Metal1,145.7800,141.4685,0.000205
FILLER_32_243,VSS,Metal1,143.3600,141.1200,0.000205
FILLER_32_239,VSS,Metal1,141.3000,141.4685,0.000205
FILLER_32_187,VSS,Metal1,111.7200,141.1200,0.000202
FILLER_32_185,VSS,Metal1,110.8800,141.1200,0.000202
FILLER_32_177,VSS,Metal1,107.5730,141.5815,0.000201
FILLER_32_171,VSS,Metal1,103.2200,141.4685,0.000201
FILLER_32_131,VSS,Metal1,80.8200,141.4685,0.000199
FILLER_32_123,VSS,Metal1,77.3330,141.5815,0.000199
FILLER_32_107,VSS,Metal1,70.5120,141.6680,0.000195
FILLER_32_104,VSS,Metal1,65.2400,141.1200,0.000195
FILLER_32_100,VSS,Metal1,63.4600,141.4685,0.000195
FILLER_32_64,VSS,Metal1,43.1200,141.1200,0.000184
FILLER_32_60,VSS,Metal1,41.0600,141.4685,0.000183
FILLER_32_44,VSS,Metal1,35.2320,141.6680,0.000183
FILLER_32_37,VSS,Metal1,27.7200,141.1200,0.000183
FILLER_32_34,VSS,Metal1,26.0400,141.1200,0.000169
FILLER_32_2,VSS,Metal1,16.1240,141.7175,0.000169
FILLER_31_250,VSS,Metal1,147.0000,141.1200,0.000205
FILLER_31_248,VSS,Metal1,146.1600,141.1200,0.000205
FILLER_31_244,VSS,Metal1,144.1000,140.7710,0.000205
FILLER_31_212,VSS,Metal1,133.7240,140.5220,0.000205
FILLER_31_206,VSS,Metal1,122.8200,140.7710,0.000205
FILLER_31_190,VSS,Metal1,113.4000,141.1200,0.000205
FILLER_31_188,VSS,Metal1,112.5600,141.1200,0.000202
FILLER_31_180,VSS,Metal1,109.2530,140.6580,0.000201
FILLER_31_164,VSS,Metal1,98.8400,141.1200,0.000201
FILLER_31_162,VSS,Metal1,98.0000,141.1200,0.000201
FILLER_31_158,VSS,Metal1,95.9400,140.7710,0.000201
FILLER_31_142,VSS,Metal1,90.1120,140.5720,0.000201
FILLER_31_139,VSS,Metal1,84.8400,141.1200,0.000201
FILLER_31_123,VSS,Metal1,79.4720,140.5720,0.000199
FILLER_31_91,VSS,Metal1,65.9640,140.5220,0.000195
FILLER_31_74,VSS,Metal1,48.4400,141.1200,0.000194
FILLER_31_72,VSS,Metal1,47.6000,141.1200,0.000194
FILLER_31_69,VSS,Metal1,45.6400,141.1200,0.000194
FILLER_31_67,VSS,Metal1,44.8000,141.1200,0.000184
FILLER_31_32,VSS,Metal1,24.9200,141.1200,0.000169
FILLER_31_30,VSS,Metal1,24.0800,141.1200,0.000169
FILLER_31_26,VSS,Metal1,22.0200,140.7710,0.000169
FILLER_31_18,VSS,Metal1,18.5330,140.6580,0.000169
FILLER_31_2,VSS,Metal1,11.7120,140.5720,0.000169
FILLER_30_247,VSS,Metal1,145.7800,133.6285,0.000097
FILLER_30_241,VSS,Metal1,142.4200,133.6285,0.000097
FILLER_30_233,VSS,Metal1,138.9330,133.7415,0.000097
FILLER_30_201,VSS,Metal1,127.5640,133.8775,0.000097
FILLER_30_177,VSS,Metal1,109.7120,133.8280,0.000097
FILLER_30_171,VSS,Metal1,103.2200,133.6285,0.000097
FILLER_30_107,VSS,Metal1,83.8445,133.9175,0.000097
FILLER_30_103,VSS,Metal1,64.9600,133.2800,0.000097
FILLER_30_87,VSS,Metal1,59.3120,133.8280,0.000096
FILLER_30_77,VSS,Metal1,50.5800,133.6285,0.000094
FILLER_30_67,VSS,Metal1,44.8000,133.2800,0.000089
FILLER_30_51,VSS,Metal1,39.1520,133.8280,0.000089
FILLER_30_37,VSS,Metal1,27.7200,133.2800,0.000085
FILLER_30_34,VSS,Metal1,26.0400,133.2800,0.000082
FILLER_30_30,VSS,Metal1,24.2600,133.6285,0.000082
FILLER_30_22,VSS,Metal1,20.7730,133.7415,0.000082
FILLER_30_6,VSS,Metal1,10.6400,133.2800,0.000082
