net,length_um
clknet_0_sys_clk_i,1.04643mm
clknet_0_periph_clk_i,981.82µm
net458,607.8µm
net478,574.91µm
_0697_,476.3µm
net338,447.03µm
net4,340.68µm
sys_clk_i,338.2µm
periph_clk_i,334.61µm
net274,316.55µm
net268,312.48µm
net313,306.47µm
net450,284.63µm
_0424_,278.57µm
_0338_,276.94µm
s_uart_parity_en,275.01µm
_0432_,268.8µm
net559,267.98µm
net261,267.27µm
net6,256.07µm
s_uart_en_rx,255.36µm
s_uart_en_tx,254.85µm
r_uart_div\[6\],252.15µm
s_uart_rx_polling_en,251.59µm
net17,247.06µm
net321,244.26µm
clknet_5_24__leaf_sys_clk_i,242.12µm
s_uart_stop_bits,241.97µm
r_uart_div\[4\],240.54µm
_0431_,237.54µm
net111,236.98µm
net252,234.18µm
net1,230.36µm
_0428_,229.85µm
_0419_,226.85µm
r_uart_bits\[1\],223.69µm
net325,219.87µm
net333,218.7µm
_0463_,214.63µm
net561,213.61µm
net429,212.49µm
net538,211.37µm
net37,210.25µm
net332,206.69µm
u_uart_rx.baud_cnt\[10\],205.62µm
net259,205.16µm
net452,204.14µm
_0434_,203.84µm
s_uart_bits\[1\],203.84µm
r_uart_div\[0\],203.38µm
net5,202.87µm
net28,201.24µm
net469,201.14µm
net473,200.68µm
net112,199.36µm
_0471_,196.71µm
net322,195.74µm
net343,195.64µm
net36,194.57µm
net328,193.91µm
r_uart_bits\[0\],192.99µm
u_uart_rx.baud_cnt\[11\],188.97µm
r_uart_div\[2\],186.22µm
net475,186.12µm
net335,184.95µm
net433,184.39µm
net254,184.29µm
net99,183.37µm
r_uart_div\[15\],183.27µm
s_uart_err_irq_en,183.17µm
net432,182.35µm
net352,182.25µm
u_uart_rx.baud_cnt\[7\],182.2µm
net437,182.15µm
u_uart_rx.baud_cnt\[6\],181.59µm
net453,179.91µm
net425,179.81µm
net323,177.82µm
r_uart_div\[11\],176.55µm
r_uart_div\[7\],175.53µm
net257,174.92µm
net15,174.77µm
net38,174.21µm
net33,173.75µm
net188,173.04µm
net560,172.63µm
net447,171.66µm
net428,171.61µm
net157,169.73µm
net35,169.22µm
net336,168.66µm
clknet_5_15__leaf_sys_clk_i,168.61µm
net349,168.3µm
net121,168.05µm
net146,165.86µm
net341,165.86µm
net547,165.4µm
net162,164.74µm
r_uart_div\[14\],164.74µm
_0446_,164.69µm
net551,164.23µm
_0859_,163.57µm
u_uart_rx.baud_cnt\[2\],163.21µm
clknet_5_29__leaf_sys_clk_i,163.21µm
net234,162.5µm
_0503_,161.48µm
net443,160.36µm
net542,160µm
net264,159.7µm
u_uart_rx.baud_cnt\[9\],158.73µm
_0437_,158.48µm
clknet_5_9__leaf_sys_clk_i,158.17µm
net256,158.07µm
_0546_,158.02µm
net550,157.1µm
r_uart_div\[5\],157µm
_0784_,156.39µm
net416,156.13µm
_0510_,155.68µm
r_uart_parity_en,154.2µm
r_uart_div\[8\],154.1µm
_0793_,152.52µm
net339,151.96µm
u_dc_fifo_rx.dst_rstn_i,151.91µm
net3,151.86µm
net553,150.94µm
net556,150.84µm
clknet_5_30__leaf_sys_clk_i,150.69µm
net316,150.18µm
net213,150.08µm
u_uart_rx.baud_cnt\[0\],149.62µm
net347,149.21µm
net554,149.11µm
s_data_rx_dc\[5\],149.06µm
net544,146.21µm
u_uart_rx.baud_cnt\[8\],145.75µm
u_uart_rx.baud_cnt\[12\],145.7µm
net255,145.7µm
r_uart_div\[12\],145.19µm
clknet_5_28__leaf_sys_clk_i,145.09µm
r_uart_div\[3\],144.63µm
clknet_5_0__leaf_sys_clk_i,144.63µm
u_uart_rx.baud_cnt\[3\],143.61µm
clknet_5_25__leaf_sys_clk_i,143.46µm
net220,142.9µm
net222,142.59µm
net235,142.44µm
net545,142.44µm
clknet_5_31__leaf_sys_clk_i,142.39µm
_0500_,142.29µm
u_dc_fifo_tx.u_dout.read_token\[1\],141.37µm
_0505_,141.27µm
r_uart_div\[1\],141.27µm
net31,140.25µm
net211,140.05µm
_0453_,140µm
net442,139.18µm
net327,138.98µm
net34,138.62µm
net471,138.06µm
net424,138.01µm
net32,137.86µm
_0572_,137.81µm
u_uart_rx.baud_cnt\[4\],137.4µm
net14,137.25µm
u_uart_rx.bit_done,136.99µm
_0375_,136.28µm
net464,135.87µm
net423,135.77µm
net421,135.52µm
net552,135.26µm
clknet_5_10__leaf_sys_clk_i,134.04µm
net461,133.99µm
net536,133.33µm
r_uart_div\[13\],132.92µm
_0492_,132.87µm
s_data_rx_dc\[0\],132.87µm
clknet_5_14__leaf_sys_clk_i,132.31µm
