Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_98_690,VDD,Metal1,394.6200,403.3275,4.499976
FILLER_98_682,VDD,Metal1,391.3865,403.1830,4.499976
FILLER_98_672,VDD,Metal1,385.7865,403.1830,4.499976
FILLER_98_656,VDD,Metal1,379.1680,403.0680,4.499976
FILLER_98_645,VDD,Metal1,368.2000,403.7600,4.499976
FILLER_98_643,VDD,Metal1,367.3600,403.7600,4.499976
FILLER_98_634,VDD,Metal1,362.0400,403.7600,4.499976
FILLER_98_618,VDD,Metal1,357.8880,403.0680,4.499976
FILLER_98_580,VDD,Metal1,341.1555,402.9910,4.499976
FILLER_98_546,VDD,Metal1,322.1155,402.9910,4.499976
FILLER_98_542,VDD,Metal1,310.8000,403.7600,4.499975
FILLER_98_526,VDD,Metal1,306.3680,403.0680,4.499975
FILLER_98_506,VDD,Metal1,291.5800,403.3275,4.499974
FILLER_98_342,VDD,Metal1,198.8000,403.7600,4.499975
FILLER_98_324,VDD,Metal1,188.7200,403.7600,4.499977
FILLER_98_305,VDD,Metal1,177.8000,403.7600,4.499978
FILLER_98_301,VDD,Metal1,176.7800,403.3275,4.499978
FILLER_98_284,VDD,Metal1,166.0400,403.7600,4.499979
FILLER_98_282,VDD,Metal1,165.2000,403.7600,4.499979
FILLER_98_274,VDD,Metal1,162.9065,403.1830,4.499979
FILLER_98_240,VDD,Metal1,150.7555,402.9910,4.499979
FILLER_98_206,VDD,Metal1,131.7155,402.9910,4.499980
FILLER_98_172,VDD,Metal1,112.6755,402.9910,4.499981
FILLER_98_138,VDD,Metal1,93.6355,402.9910,4.499981
FILLER_98_104,VDD,Metal1,74.5955,402.9910,4.499982
FILLER_98_70,VDD,Metal1,55.5555,402.9910,4.499982
FILLER_98_36,VDD,Metal1,36.5155,402.9910,4.499983
FILLER_98_2,VDD,Metal1,17.4755,402.9910,4.499983
FILLER_97_689,VDD,Metal1,392.8400,395.9200,4.499846
