Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_98_690,VSS,Metal1,393.8600,400.1885,0.000049
FILLER_98_682,VSS,Metal1,390.3730,400.3015,0.000049
FILLER_98_672,VSS,Metal1,384.7730,400.3015,0.000049
FILLER_98_656,VSS,Metal1,377.9520,400.3880,0.000049
FILLER_98_645,VSS,Metal1,368.2000,399.8400,0.000049
FILLER_98_643,VSS,Metal1,367.3600,399.8400,0.000049
FILLER_98_634,VSS,Metal1,362.0400,399.8400,0.000049
FILLER_98_618,VSS,Metal1,356.6720,400.3880,0.000049
FILLER_98_580,VSS,Metal1,339.8040,400.4375,0.000049
FILLER_98_546,VSS,Metal1,320.7640,400.4375,0.000049
FILLER_98_542,VSS,Metal1,310.8000,399.8400,0.000049
FILLER_98_526,VSS,Metal1,305.1520,400.3880,0.000049
FILLER_98_506,VSS,Metal1,290.8200,400.1885,0.000049
FILLER_98_342,VSS,Metal1,198.8000,399.8400,0.000056
FILLER_98_324,VSS,Metal1,188.7200,399.8400,0.000055
FILLER_98_305,VSS,Metal1,177.8000,399.8400,0.000055
FILLER_98_301,VSS,Metal1,176.0200,400.1885,0.000054
FILLER_98_284,VSS,Metal1,166.0400,399.8400,0.000054
FILLER_98_282,VSS,Metal1,165.2000,399.8400,0.000054
FILLER_98_274,VSS,Metal1,161.8930,400.3015,0.000053
FILLER_98_240,VSS,Metal1,149.4040,400.4375,0.000048
FILLER_98_206,VSS,Metal1,130.3640,400.4375,0.000048
FILLER_98_172,VSS,Metal1,111.3240,400.4375,0.000047
FILLER_98_138,VSS,Metal1,92.2840,400.4375,0.000047
FILLER_98_104,VSS,Metal1,73.2440,400.4375,0.000046
FILLER_98_70,VSS,Metal1,54.2040,400.4375,0.000046
FILLER_98_36,VSS,Metal1,35.1640,400.4375,0.000045
FILLER_98_2,VSS,Metal1,16.1240,400.4375,0.000045
FILLER_97_689,VSS,Metal1,392.8400,399.8400,0.000049
FILLER_97_685,VSS,Metal1,391.0600,399.4910,0.000049
FILLER_97_653,VSS,Metal1,380.6840,399.2420,0.000049
FILLER_97_644,VSS,Metal1,367.6400,399.8400,0.000049
FILLER_97_640,VSS,Metal1,365.8600,399.4910,0.000049
FILLER_97_632,VSS,Metal1,362.3730,399.3780,0.000049
FILLER_97_626,VSS,Metal1,358.0200,399.4910,0.000049
FILLER_97_562,VSS,Metal1,338.6445,399.2020,0.000049
FILLER_97_558,VSS,Metal1,319.7600,399.8400,0.000049
FILLER_97_554,VSS,Metal1,317.7000,399.4910,0.000049
FILLER_97_538,VSS,Metal1,311.8720,399.2920,0.000049
FILLER_97_506,VSS,Metal1,298.3640,399.2420,0.000049
FILLER_97_489,VSS,Metal1,280.8400,399.8400,0.000058
FILLER_97_445,VSS,Metal1,256.2000,399.8400,0.000060
FILLER_97_443,VSS,Metal1,255.3600,399.8400,0.000060
FILLER_97_426,VSS,Metal1,245.5600,399.8400,0.000060
FILLER_97_422,VSS,Metal1,243.7800,399.4910,0.000060
FILLER_97_419,VSS,Metal1,241.6400,399.8400,0.000060
FILLER_97_415,VSS,Metal1,239.8600,399.4910,0.000060
FILLER_97_397,VSS,Metal1,229.6000,399.8400,0.000060
FILLER_97_371,VSS,Metal1,215.2200,399.4910,0.000057
FILLER_97_354,VSS,Metal1,205.2400,399.8400,0.000057
FILLER_97_352,VSS,Metal1,204.4000,399.8400,0.000057
FILLER_97_340,VSS,Metal1,197.8600,399.4910,0.000056
FILLER_97_297,VSS,Metal1,173.3200,399.8400,0.000054
FILLER_97_276,VSS,Metal1,162.0200,399.4910,0.000053
FILLER_97_212,VSS,Metal1,142.6445,399.2020,0.000048
FILLER_97_206,VSS,Metal1,122.8200,399.4910,0.000048
FILLER_97_142,VSS,Metal1,103.4445,399.2020,0.000047
FILLER_97_136,VSS,Metal1,83.6200,399.4910,0.000047
FILLER_97_72,VSS,Metal1,64.2445,399.2020,0.000046
FILLER_97_66,VSS,Metal1,44.4200,399.4910,0.000045
FILLER_97_2,VSS,Metal1,25.0445,399.2020,0.000045
FILLER_96_685,VSS,Metal1,390.6000,392.0000,0.000275
FILLER_96_683,VSS,Metal1,389.7600,392.0000,0.000275
FILLER_96_667,VSS,Metal1,384.1120,392.5480,0.000275
FILLER_96_661,VSS,Metal1,377.6200,392.3485,0.000275
FILLER_96_597,VSS,Metal1,358.2445,392.6375,0.000275
FILLER_96_591,VSS,Metal1,338.4200,392.3485,0.000275
FILLER_96_527,VSS,Metal1,319.0445,392.6375,0.000275
FILLER_96_524,VSS,Metal1,300.4400,392.0000,0.000276
FILLER_96_520,VSS,Metal1,298.6600,392.3485,0.000276
FILLER_96_512,VSS,Metal1,295.1730,392.4615,0.000276
FILLER_96_463,VSS,Metal1,266.2800,392.0000,0.000277
FILLER_96_451,VSS,Metal1,260.0200,392.3485,0.000276
FILLER_96_425,VSS,Metal1,245.4600,392.3485,0.000270
FILLER_96_402,VSS,Metal1,232.4000,392.0000,0.000266
FILLER_96_359,VSS,Metal1,208.0400,392.0000,0.000261
FILLER_96_317,VSS,Metal1,185.9730,392.4615,0.000258
FILLER_96_311,VSS,Metal1,181.6200,392.3485,0.000248
FILLER_96_299,VSS,Metal1,174.4400,392.0000,0.000233
FILLER_96_297,VSS,Metal1,173.6000,392.0000,0.000233
FILLER_96_247,VSS,Metal1,148.9120,392.5480,0.000232
FILLER_96_241,VSS,Metal1,142.4200,392.3485,0.000232
FILLER_96_177,VSS,Metal1,123.0445,392.6375,0.000232
FILLER_96_171,VSS,Metal1,103.2200,392.3485,0.000232
FILLER_96_107,VSS,Metal1,83.8445,392.6375,0.000231
FILLER_96_101,VSS,Metal1,64.0200,392.3485,0.000231
FILLER_96_37,VSS,Metal1,44.6445,392.6375,0.000231
FILLER_96_34,VSS,Metal1,26.0400,392.0000,0.000231
FILLER_96_30,VSS,Metal1,24.2600,392.3485,0.000231
FILLER_96_22,VSS,Metal1,20.7730,392.4615,0.000231
FILLER_96_6,VSS,Metal1,13.9520,392.5480,0.000231
FILLER_95_692,VSS,Metal1,394.8000,392.0000,0.000275
FILLER_95_688,VSS,Metal1,392.7400,391.6510,0.000275
FILLER_95_680,VSS,Metal1,389.2530,391.5380,0.000275
FILLER_95_664,VSS,Metal1,382.4320,391.4520,0.000275
FILLER_95_632,VSS,Metal1,368.9240,391.4020,0.000275
FILLER_95_626,VSS,Metal1,358.0200,391.6510,0.000275
FILLER_95_562,VSS,Metal1,338.6445,391.3620,0.000275
FILLER_95_559,VSS,Metal1,320.0400,392.0000,0.000275
FILLER_95_557,VSS,Metal1,319.2000,392.0000,0.000275
FILLER_95_553,VSS,Metal1,317.1400,391.6510,0.000275
FILLER_95_537,VSS,Metal1,311.3120,391.4520,0.000275
FILLER_95_502,VSS,Metal1,288.1200,392.0000,0.000276
FILLER_95_500,VSS,Metal1,287.2800,392.0000,0.000276
FILLER_95_492,VSS,Metal1,283.9730,391.5380,0.000277
FILLER_95_486,VSS,Metal1,279.6200,391.6510,0.000277
FILLER_95_433,VSS,Metal1,249.7600,392.0000,0.000271
FILLER_95_419,VSS,Metal1,241.6400,392.0000,0.000267
FILLER_95_352,VSS,Metal1,207.7120,391.4520,0.000261
FILLER_95_337,VSS,Metal1,196.0000,392.0000,0.000259
FILLER_95_310,VSS,Metal1,180.6000,392.0000,0.000248
FILLER_95_308,VSS,Metal1,179.7600,392.0000,0.000234
FILLER_95_304,VSS,Metal1,177.7000,391.6510,0.000234
FILLER_95_288,VSS,Metal1,168.2800,392.0000,0.000233
FILLER_95_286,VSS,Metal1,167.4400,392.0000,0.000233
FILLER_95_282,VSS,Metal1,165.3800,391.6510,0.000233
FILLER_95_276,VSS,Metal1,162.0200,391.6510,0.000232
FILLER_95_212,VSS,Metal1,142.6445,391.3620,0.000232
FILLER_95_206,VSS,Metal1,122.8200,391.6510,0.000232
FILLER_95_142,VSS,Metal1,103.4445,391.3620,0.000232
FILLER_95_136,VSS,Metal1,83.6200,391.6510,0.000231
FILLER_95_72,VSS,Metal1,64.2445,391.3620,0.000231
FILLER_95_66,VSS,Metal1,44.4200,391.6510,0.000231
FILLER_95_2,VSS,Metal1,25.0445,391.3620,0.000231
FILLER_94_693,VSS,Metal1,395.0800,384.1600,0.000300
FILLER_94_691,VSS,Metal1,394.2400,384.1600,0.000300
FILLER_94_683,VSS,Metal1,390.9330,384.6215,0.000300
FILLER_94_667,VSS,Metal1,384.1120,384.7080,0.000300
FILLER_94_661,VSS,Metal1,377.6200,384.5085,0.000300
FILLER_94_597,VSS,Metal1,358.2445,384.7975,0.000300
FILLER_94_591,VSS,Metal1,338.4200,384.5085,0.000300
FILLER_94_527,VSS,Metal1,319.0445,384.7975,0.000300
FILLER_94_523,VSS,Metal1,300.1600,384.1600,0.000301
FILLER_94_519,VSS,Metal1,298.1000,384.5085,0.000301
FILLER_94_468,VSS,Metal1,269.3600,384.1600,0.000303
FILLER_94_439,VSS,Metal1,252.8400,384.1600,0.000285
FILLER_94_437,VSS,Metal1,252.0000,384.1600,0.000285
FILLER_94_387,VSS,Metal1,224.1800,384.5085,0.000282
FILLER_94_373,VSS,Metal1,215.8800,384.1600,0.000276
FILLER_94_357,VSS,Metal1,210.5120,384.7080,0.000273
FILLER_94_341,VSS,Metal1,197.9600,384.1600,0.000263
FILLER_94_333,VSS,Metal1,194.9330,384.6215,0.000263
FILLER_94_317,VSS,Metal1,188.1120,384.7080,0.000263
FILLER_94_313,VSS,Metal1,182.5600,384.1600,0.000263
FILLER_94_309,VSS,Metal1,180.5000,384.5085,0.000262
FILLER_94_271,VSS,Metal1,159.2200,384.5085,0.000248
FILLER_94_263,VSS,Metal1,155.7330,384.6215,0.000248
FILLER_94_247,VSS,Metal1,148.9120,384.7080,0.000248
