net,length_um
clknet_0_sys_clk_i,907.04µm
clknet_0_periph_clk_i,651.83µm
_0293_,611.72µm
net305,485.86µm
net267,434.81µm
net268,415.92µm
net111,400.04µm
net265,400.04µm
net243,380.03µm
_0353_,377.46µm
net263,367.76µm
net250,362.52µm
sys_clk_i,346.55µm
net304,335.64µm
_0790_,314.87µm
net234,306.57µm
net232,298.02µm
_0456_,294.3µm
net245,291.45µm
_0364_,289.67µm
net6,278.01µm
_0461_,259.99µm
net324,259.38µm
_0413_,256.12µm
_0795_,254.54µm
net233,253.27µm
_0409_,252.15µm
net32,245.43µm
s_uart_stop_bits,243.7µm
periph_clk_i,240.1µm
net244,239.88µm
s_uart_bits\[1\],238.66µm
net261,238.2µm
net321,237.69µm
net283,233.67µm
net293,232.65µm
_0462_,231.58µm
_0412_,229.24µm
net278,228.73µm
net300,228.43µm
net284,227.61µm
_0747_,226.9µm
net256,225.93µm
_0357_,223.18µm
net287,222.62µm
net36,221.81µm
net291,218.04µm
net276,216.92µm
net322,215.9µm
s_data_rx_dc\[1\],215.7µm
net271,214.78µm
net315,214.73µm
net270,211.88µm
net314,211.32µm
net31,210.76µm
net323,210.1µm
s_uart_rx_polling_en,207.91µm
net37,206.18µm
net266,205.67µm
_0355_,204.45µm
r_uart_div\[7\],201.9µm
r_uart_div\[2\],200.58µm
net316,199.56µm
r_uart_div\[3\],198.9µm
net228,198.03µm
net309,198.03µm
net292,197.32µm
clknet_5_5__leaf_sys_clk_i,197.32µm
net290,195.69µm
net260,195.64µm
net227,192.38µm
net34,191.11µm
_0394_,190.96µm
r_uart_bits\[0\],190.6µm
net241,187.95µm
net313,187.24µm
net286,186.73µm
net279,186.22µm
net308,185.46µm
s_data_rx_dc\[5\],183.88µm
net167,182.56µm
net282,181.79µm
r_uart_div\[1\],180.98µm
net281,180.52µm
net5,179.96µm
net226,178.89µm
_0451_,178.13µm
net294,177.16µm
net307,176.55µm
net225,175.43µm
net220,175.33µm
r_uart_div\[5\],174.36µm
net274,173.29µm
net306,173.29µm
net302,173.19µm
net320,172.78µm
_0360_,172.53µm
net221,172.02µm
net28,171.46µm
clknet_5_10__leaf_sys_clk_i,170.95µm
_0793_,170.29µm
net311,170.29µm
net33,169.78µm
clknet_5_30__leaf_sys_clk_i,168.76µm
net202,168.61µm
net318,168.2µm
r_uart_bits\[1\],167.69µm
net168,166.98µm
net255,165.25µm
net38,164.94µm
r_uart_div\[12\],163.72µm
s_uart_en_rx,163.67µm
net214,163.01µm
net296,162.5µm
u_uart_rx.baud_cnt\[0\],161.02µm
s_data_rx_dc\[0\],160.92µm
net157,160.77µm
net17,159.8µm
net238,157.41µm
net198,155.68µm
_0408_,155.27µm
net273,155.17µm
net164,154.66µm
net177,154.61µm
r_uart_div\[8\],151.92µm
s_uart_en_tx,151.86µm
net1,151.3µm
clknet_5_29__leaf_sys_clk_i,150.13µm
clknet_5_31__leaf_sys_clk_i,149.16µm
net3,148.5µm
net262,148.04µm
net247,147.53µm
_0515_,147.48µm
net239,147.43µm
_0739_,147.38µm
net207,147.38µm
r_uart_div\[15\],147.33µm
net128,147.28µm
net240,146.87µm
_0374_,146.77µm
net280,146.36µm
net297,146.31µm
net2,144.78µm
net264,143.66µm
net312,143.41µm
net259,142.49µm
net112,141.73µm
clknet_5_14__leaf_sys_clk_i,141.22µm
net229,140.71µm
r_uart_div\[9\],139.03µm
net301,138.67µm
r_uart_div\[13\],137.86µm
net76,137.76µm
net21,137.25µm
net218,137.2µm
r_uart_div\[6\],136.74µm
clknet_5_6__leaf_sys_clk_i,136.74µm
net85,136.13µm
net298,135.01µm
net146,134.55µm
clknet_5_3__leaf_sys_clk_i,133.94µm
net277,133.53µm
s_data_rx_dc\[4\],132.36µm
net242,130.02µm
u_uart_rx.baud_cnt\[4\],129.92µm
clknet_5_16__leaf_sys_clk_i,129.46µm
_0446_,128.39µm
net237,128.39µm
u_uart_rx.bit_done,127.68µm
_0706_,127.22µm
net317,126.61µm
_0450_,126.15µm
u_uart_rx.baud_cnt\[9\],125.08µm
net285,124.32µm
_0479_,123.58µm
net188,122.74µm
s_uart_bits\[0\],122.74µm
r_uart_div\[14\],122.69µm
net254,122.13µm
clknet_5_12__leaf_sys_clk_i,121.77µm
_0430_,121.67µm
net258,121.11µm
net249,120.5µm
u_uart_rx.reg_rx_sync\[2\],119.43µm
_0377_,118.72µm
net295,118.41µm
_0369_,118.16µm
clknet_5_22__leaf_periph_clk_i,118.16µm
net288,117.9µm
s_uart_rx_clean_fifo,117.7µm
clknet_5_11__leaf_sys_clk_i,117.29µm
clknet_5_7__leaf_sys_clk_i,116.53µm
u_uart_tx.busy_o,116.07µm
u_dc_fifo_rx.u_din.full.full_synch.d_in\[0\],115.41µm
u_uart_rx.baud_cnt\[6\],114.95µm
net269,114.95µm
net223,114.85µm
clknet_5_4__leaf_sys_clk_i,113.78µm
u_reg_if.r_uart_rx_data\[1\],113.73µm
_0513_,113.17µm
net189,113.12µm
clknet_5_17__leaf_sys_clk_i,112.66µm
u_uart_tx.bit_done,112.2µm
net206,112.1µm
s_uart_rx_irq_en,109.86µm
net4,109.35µm
_0744_,108.74µm
net103,108.74µm
net224,108.13µm
net310,107.06µm
net213,107.01µm
_0746_,106.5µm
net195,106.5µm
u_uart_rx.baud_cnt\[3\],104.82µm
net194,104.26µm
clknet_5_18__leaf_sys_clk_i,103.9µm
clknet_5_15__leaf_sys_clk_i,103.8µm
net162,103.14µm
clknet_5_19__leaf_sys_clk_i,102.12µm
net99,100.9µm
clknet_5_28__leaf_sys_clk_i,100.44µm
u_dc_fifo_rx.u_din.write_token\[3\],100.34µm
clknet_5_3__leaf_periph_clk_i,99.83µm
net186,99.73µm
_0478_,99.68µm
cfg_tx_size_o[6],99.54µm
clknet_5_13__leaf_sys_clk_i,99.27µm
clknet_5_0__leaf_periph_clk_i,98.1µm
u_uart_tx.CS\[2\],97.08µm
_0743_,97.03µm
net303,97.03µm
net251,96.88µm
net179,96.42µm
u_uart_rx.baud_cnt\[10\],96.37µm
s_uart_parity_en,95.91µm
u_uart_rx.CS\[1\],95.68µm
net248,95.3µm
clknet_5_22__leaf_sys_clk_i,95.3µm
_0376_,95.2µm
cfg_rx_size_o[8],94.87µm
_0429_,94.84µm
u_uart_tx.baud_cnt\[1\],94.74µm
r_uart_parity_en,93.01µm
_0445_,92.5µm
net173,92.4µm
clknet_5_18__leaf_periph_clk_i,91.94µm
clknet_5_0__leaf_sys_clk_i,90.26µm
r_uart_div\[4\],89.7µm
clknet_5_20__leaf_sys_clk_i,89.14µm
clknet_5_26__leaf_periph_clk_i,88.68µm
net212,88.53µm
_0685_,88.48µm
cfg_data_i[8],87.78µm
cfg_rx_startaddr_o[0],87.78µm
s_data_rx_dc\[2\],87.51µm
_0712_,87.46µm
r_uart_en_tx_sync\[2\],87.46µm
s_data_rx_dc\[7\],87.41µm
_0707_,86.9µm
clknet_5_19__leaf_periph_clk_i,86.85µm
_0785_,86.8µm
clknet_5_29__leaf_periph_clk_i,86.49µm
net191,86.29µm
cfg_rx_startaddr_o[1],86.25µm
_0592_,86.24µm
net319,85.88µm
u_uart_rx.baud_cnt\[5\],85.78µm
cfg_tx_size_o[13],85.54µm
clknet_5_14__leaf_periph_clk_i,85.12µm
u_dc_fifo_tx.u_din.write_token\[0\],84.91µm
u_uart_rx.baud_cnt\[15\],84.61µm
cfg_rx_size_o[5],84.52µm
u_dc_fifo_tx.u_dout.read_token\[1\],84.15µm
clknet_5_28__leaf_periph_clk_i,84.15µm
_0460_,84.1µm
net158,84.05µm
_0496_,83.64µm
u_dc_fifo_rx.u_din.write_token\[0\],83.49µm
r_uart_div\[0\],82.93µm
clknet_5_17__leaf_periph_clk_i,82.57µm
clknet_5_23__leaf_periph_clk_i,82.37µm
r_uart_div\[10\],81.91µm
cfg_tx_startaddr_o[5],81.77µm
_0800_,81.35µm
u_fifo.i_fifo.elements\[0\],81.3µm
u_uart_rx.baud_cnt\[1\],80.84µm
u_uart_rx.baud_cnt\[13\],80.79µm
_0006_,80.69µm
u_uart_tx.CS\[1\],80.28µm
clknet_5_16__leaf_periph_clk_i,80.18µm
cfg_rx_startaddr_o[7],79.94µm
u_dc_fifo_tx.u_din.write_token\[3\],79.21µm
_0540_,79.11µm
u_uart_tx.baud_cnt\[0\],79.11µm
net155,79.01µm
clknet_5_1__leaf_periph_clk_i,79.01µm
cfg_tx_startaddr_o[8],78.82µm
clknet_5_8__leaf_periph_clk_i,78.55µm
clknet_5_25__leaf_sys_clk_i,78.5µm
clknet_5_13__leaf_periph_clk_i,78.5µm
_0447_,78.45µm
net183,78.45µm
i_ep_err_parity.i_sync_clkb.i_pulp_sync.serial_i,78.4µm
clknet_5_21__leaf_sys_clk_i,77.99µm
s_uart_div\[6\],77.94µm
_0802_,77.89µm
_0697_,77.43µm
net200,77.38µm
net215,77.28µm
u_uart_rx.CS\[0\],77.07µm
clknet_5_10__leaf_periph_clk_i,76.92µm
_0691_,76.77µm
_0523_,76.72µm
cfg_rx_size_o[7],76.63µm
_0512_,76.26µm
net104,76.21µm
clknet_5_1__leaf_sys_clk_i,76.21µm
cfg_data_i[7],76.07µm
_0532_,75.7µm
_0723_,75.7µm
u_uart_rx.baud_cnt\[7\],75.65µm
cfg_data_i[3],74.9µm
_0501_,74.63µm
clknet_5_9__leaf_periph_clk_i,74.63µm
clknet_5_5__leaf_periph_clk_i,74.58µm
clknet_5_24__leaf_periph_clk_i,74.58µm
_0362_,74.53µm
cfg_tx_startaddr_o[0],74.34µm
clknet_5_21__leaf_periph_clk_i,74.12µm
clknet_5_7__leaf_periph_clk_i,74.02µm
clknet_5_2__leaf_periph_clk_i,73.97µm
net230,73.92µm
net216,73.56µm
_0494_,73.51µm
u_dc_fifo_rx.u_din.write_token\[1\],73.41µm
cfg_tx_size_o[8],73.22µm
net252,72.95µm
_0365_,72.85µm
net171,72.29µm
u_dc_fifo_rx.u_dout.read_token\[1\],71.88µm
s_data_rx_dc\[3\],71.83µm
cfg_data_i[0],71.59µm
cfg_rx_startaddr_o[6],71.54µm
u_uart_tx.CS\[0\],71.52µm
_0721_,71.32µm
clknet_5_12__leaf_periph_clk_i,71.32µm
_0298_,71.17µm
net236,71.12µm
cfg_tx_startaddr_o[1],70.42µm
u_uart_rx.baud_cnt\[14\],70.1µm
_0629_,70.05µm
