Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_664,VSS,Metal1,380.2930,392.4615,0.000016
FILLER_96_648,VSS,Metal1,373.4720,392.5480,0.000016
FILLER_96_614,VSS,Metal1,358.8440,392.5975,0.000016
FILLER_96_580,VSS,Metal1,339.8040,392.5975,0.000016
FILLER_96_546,VSS,Metal1,320.7640,392.5975,0.000016
FILLER_96_512,VSS,Metal1,301.7240,392.5975,0.000016
FILLER_96_508,VSS,Metal1,291.7600,392.0000,0.000018
FILLER_96_504,VSS,Metal1,289.7000,392.3485,0.000018
FILLER_96_474,VSS,Metal1,272.7200,392.0000,0.000026
FILLER_96_433,VSS,Metal1,249.4800,392.0000,0.000027
FILLER_96_429,VSS,Metal1,247.7000,392.3485,0.000027
FILLER_96_412,VSS,Metal1,237.7200,392.0000,0.000027
FILLER_96_410,VSS,Metal1,236.8800,392.0000,0.000027
FILLER_96_373,VSS,Metal1,215.8800,392.0000,0.000027
FILLER_96_371,VSS,Metal1,215.0400,392.0000,0.000027
FILLER_96_361,VSS,Metal1,209.4400,392.0000,0.000027
FILLER_96_354,VSS,Metal1,205.2400,392.0000,0.000025
FILLER_96_350,VSS,Metal1,203.4600,392.3485,0.000025
FILLER_96_342,VSS,Metal1,199.9730,392.4615,0.000024
FILLER_96_308,VSS,Metal1,179.7600,392.0000,0.000022
FILLER_96_289,VSS,Metal1,168.8400,392.0000,0.000021
FILLER_96_240,VSS,Metal1,149.4040,392.5975,0.000018
FILLER_96_206,VSS,Metal1,130.3640,392.5975,0.000018
FILLER_96_172,VSS,Metal1,111.3240,392.5975,0.000017
FILLER_96_138,VSS,Metal1,92.2840,392.5975,0.000017
FILLER_96_104,VSS,Metal1,73.2440,392.5975,0.000016
FILLER_96_70,VSS,Metal1,54.2040,392.5975,0.000016
FILLER_96_36,VSS,Metal1,35.1640,392.5975,0.000015
FILLER_96_33,VSS,Metal1,25.4800,392.0000,0.000015
FILLER_96_25,VSS,Metal1,22.4530,392.4615,0.000015
FILLER_96_16,VSS,Metal1,15.9600,392.0000,0.000015
FILLER_96_14,VSS,Metal1,15.1200,392.0000,0.000015
