net,length_um
clknet_0_sys_clk_i,974.85µm
clknet_0_periph_clk_i,708.44µm
_0293_,616.45µm
net456,468.19µm
net331,437.2µm
net330,429.82µm
net326,398.46µm
net328,391.64µm
net111,378.25µm
net303,377.03µm
clknet_5_30__leaf_sys_clk_i,348.47µm
sys_clk_i,346.55µm
net6,326.73µm
net336,311.05µm
net455,298.17µm
_0364_,285.7µm
net485,275.11µm
_0461_,274.14µm
net32,268.39µm
_0456_,264.62µm
net255,262.79µm
s_uart_bits\[1\],260.45µm
_0357_,253.27µm
s_uart_stop_bits,252.1µm
net230,249.96µm
net296,245.38µm
net327,244.97µm
net337,244.36µm
net351,241.46µm
_0412_,238.25µm
periph_clk_i,237.86µm
net434,236.01µm
s_data_rx_dc\[1\],231.48µm
net448,231.43µm
net471,231.43µm
net315,230.36µm
net346,229.24µm
net340,225.37µm
_0747_,224.05µm
_0462_,222.57µm
net361,213.97µm
net3,213.56µm
net293,211.47µm
r_uart_div\[2\],209.03µm
net542,208.47µm
net329,206.79µm
_0642_,206.13µm
r_uart_div\[3\],202.26µm
net224,201.14µm
net229,198.44µm
net483,198.03µm
s_uart_rx_polling_en,195.69µm
net338,194.47µm
clknet_5_10__leaf_sys_clk_i,193.3µm
net17,193.25µm
net428,193.2µm
net433,192.84µm
net37,192.28µm
net541,192.23µm
net343,191.52µm
net1,191.11µm
r_uart_bits\[0\],190.65µm
r_uart_div\[7\],190.65µm
net31,189.53µm
net344,189.02µm
net484,186.68µm
net335,186.53µm
net228,185µm
net76,184.85µm
net322,184.44µm
net461,184.44µm
net36,184.39µm
net356,181.54µm
net540,179.96µm
net5,179.35µm
net220,178.69µm
r_uart_div\[1\],177.9µm
net438,177.11µm
s_data_rx_dc\[5\],176.6µm
net309,176.5µm
net157,175.89µm
s_data_rx_dc\[0\],174.92µm
_0451_,174.4µm
r_uart_div\[5\],174.31µm
net353,174.31µm
net34,173.75µm
net253,171.46µm
net544,171µm
net473,170.54µm
net342,170.34µm
net213,169.68µm
r_uart_bits\[1\],168.76µm
r_uart_div\[12\],167.13µm
net200,166.93µm
s_uart_en_tx,166.42µm
net440,165.5µm
clknet_5_29__leaf_sys_clk_i,165.4µm
net443,162.55µm
net4,161.89µm
net214,160.72µm
net430,159.29µm
_0394_,159.09µm
_0515_,157.41µm
net481,157µm
net265,156.85µm
net128,156.8µm
net112,156.29µm
net300,155.73µm
net463,155.22µm
net33,154.76µm
u_uart_rx.baud_cnt\[0\],154.25µm
clknet_5_31__leaf_sys_clk_i,154.1µm
net28,153.54µm
net252,153.44µm
net341,152.98µm
net209,152.42µm
net2,152.11µm
r_uart_div\[8\],150.96µm
clknet_5_4__leaf_sys_clk_i,147.99µm
net226,146.82µm
net298,146.77µm
r_uart_div\[13\],146.26µm
net476,145.29µm
net389,145.14µm
_0739_,145.04µm
r_uart_div\[15\],142.9µm
u_uart_rx.baud_cnt\[4\],142.39µm
net207,141.68µm
net146,141.17µm
net223,140.61µm
net231,138.52µm
net314,138.52µm
r_uart_div\[9\],137.86µm
net373,137.01µm
s_uart_en_rx,136.79µm
net320,136.33µm
r_uart_div\[6\],136.23µm
net359,136.18µm
s_data_rx_dc\[4\],135.99µm
clknet_5_6__leaf_sys_clk_i,135.67µm
net355,135.21µm
clknet_5_14__leaf_sys_clk_i,135.16µm
net452,133.99µm
clknet_5_28__leaf_sys_clk_i,133.48µm
net469,132.87µm
net360,132.82µm
net21,132.77µm
_0790_,132.72µm
net218,132.72µm
net295,132.26µm
clknet_5_11__leaf_sys_clk_i,130.73µm
_0374_,130.09µm
clknet_5_0__leaf_sys_clk_i,130.07µm
clknet_5_0__leaf_periph_clk_i,129.46µm
r_uart_div\[14\],127.73µm
net374,127.12µm
clknet_5_25__leaf_sys_clk_i,126.2µm
net450,125.64µm
clknet_5_12__leaf_sys_clk_i,125.64µm
net442,125.13µm
s_uart_rx_irq_en,124.98µm
clknet_5_8__leaf_periph_clk_i,124.42µm
net446,124.37µm
net375,124.02µm
net436,123.81µm
clknet_5_5__leaf_sys_clk_i,123.4µm
net474,123.35µm
_0706_,123.3µm
net264,123.2µm
net479,122.23µm
net534,122.08µm
net444,121.62µm
net171,120.45µm
_0450_,119.99µm
clknet_5_7__leaf_sys_clk_i,119.94µm
clknet_5_22__leaf_sys_clk_i,118.87µm
u_uart_rx.baud_cnt\[9\],118.26µm
_0743_,118.21µm
net257,118.21µm
net227,117.75µm
net460,117.7µm
net458,117.24µm
u_uart_tx.busy_o,117.09µm
net202,116.02µm
s_uart_bits\[0\],115.97µm
u_reg_if.r_uart_rx_data\[1\],115.61µm
u_uart_rx.reg_rx_sync\[2\],115.56µm
u_uart_rx.bit_done,115µm
