Reading timing models for corner max_ss_125C_4v50…
Reading timing library for the 'max_ss_125C_4v50' corner at '/home/sahana/.ciel/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__ss_125C_4v50.lib'…
Reading OpenROAD database at '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/28-openroad-globalplacement/udma_uart_top.odb'…
Reading design constraints file at '/home/sahana/core5_udma/hardening/uart_top/constraints.closure.sdc'…
[INFO RSZ-0027] Inserted 112 gf180mcu_fd_sc_mcu7t5v0__dlyd_1 input buffers.
[INFO RSZ-0028] Inserted 108 gf180mcu_fd_sc_mcu7t5v0__dlyd_1 output buffers.
+ repair_design -verbose -max_wire_length 0 -slew_margin 40 -cap_margin 40
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |      1642
       10 |     +0.0% |       0 |       0 |             0 |      1632
       20 |     +0.0% |       0 |       0 |             0 |      1622
       30 |     +0.0% |       0 |       0 |             0 |      1612
       40 |     +0.0% |       0 |       0 |             0 |      1602
       50 |     +0.0% |       0 |       0 |             0 |      1592
       60 |     +0.0% |       0 |       0 |             0 |      1582
       70 |     +0.0% |       0 |       0 |             0 |      1572
       80 |     +0.0% |       0 |       0 |             0 |      1562
       90 |     +0.0% |       0 |       0 |             0 |      1552
      100 |     +0.0% |       0 |       0 |             0 |      1542
      110 |     -0.2% |       2 |       0 |             0 |      1532
      120 |     -0.2% |       2 |       0 |             0 |      1522
      130 |     -0.2% |       2 |       0 |             0 |      1512
      140 |     -0.2% |       2 |       0 |             0 |      1502
      150 |     -0.1% |       3 |       1 |             1 |      1492
      160 |     -0.1% |       3 |       1 |             1 |      1482
      170 |     -0.1% |       3 |       1 |             1 |      1472
      180 |     -0.1% |       3 |       1 |             1 |      1462
      190 |     -0.1% |       3 |       1 |             1 |      1452
      200 |     -0.1% |       3 |       1 |             1 |      1442
      210 |     -0.1% |       3 |       1 |             1 |      1432
      220 |     -0.1% |       4 |       1 |             1 |      1422
      230 |     +0.0% |       5 |       3 |             2 |      1412
      240 |     +0.1% |       6 |       4 |             3 |      1402
      250 |     +0.4% |       9 |      11 |             5 |      1392
      260 |     -0.5% |      19 |      11 |             5 |      1382
      270 |     -0.7% |      21 |      11 |             5 |      1372
      280 |     -0.7% |      21 |      11 |             5 |      1362
      290 |     -0.7% |      21 |      11 |             5 |      1352
      300 |     -0.7% |      23 |      11 |             5 |      1342
      310 |     -0.6% |      24 |      11 |             6 |      1332
      320 |     -0.6% |      24 |      11 |             6 |      1322
      330 |     -0.6% |      24 |      11 |             6 |      1312
      340 |     -0.6% |      24 |      11 |             6 |      1302
      350 |     +0.1% |      24 |      25 |             8 |      1292
      360 |     +0.1% |      24 |      25 |             8 |      1282
      370 |     +0.1% |      24 |      25 |             8 |      1272
      380 |     +0.2% |      25 |      26 |             9 |      1262
      390 |     +0.3% |      28 |      26 |            11 |      1252
      400 |     +0.3% |      29 |      27 |            12 |      1242
      410 |     +0.3% |      29 |      27 |            12 |      1232
      420 |     +0.4% |      30 |      27 |            13 |      1222
      430 |     +0.5% |      31 |      27 |            13 |      1212
      440 |     +0.5% |      31 |      27 |            13 |      1202
      450 |     +0.5% |      31 |      27 |            13 |      1192
      460 |     +0.5% |      31 |      27 |            13 |      1182
      470 |     -0.0% |      36 |      27 |            13 |      1172
      480 |     -1.0% |      46 |      27 |            13 |      1162
      490 |     -1.9% |      56 |      27 |            13 |      1152
      500 |     -2.1% |      58 |      27 |            13 |      1142
      510 |     -2.1% |      58 |      27 |            13 |      1132
      520 |     -2.1% |      58 |      27 |            13 |      1122
      530 |     -2.1% |      58 |      27 |            13 |      1112
      540 |     -2.1% |      58 |      27 |            13 |      1102
      550 |     -1.9% |      58 |      30 |            14 |      1092
      560 |     -1.3% |      58 |      42 |            16 |      1082
      570 |     -0.2% |      60 |      61 |            20 |      1072
      580 |     -0.1% |      65 |      61 |            21 |      1062
      590 |     -0.1% |      65 |      61 |            21 |      1052
      600 |     -0.1% |      65 |      61 |            21 |      1042
      610 |     -0.1% |      66 |      61 |            21 |      1032
      620 |     -0.0% |      67 |      61 |            21 |      1022
      630 |     -0.0% |      67 |      61 |            21 |      1012
      640 |     +0.0% |      69 |      61 |            21 |      1002
      650 |     +0.0% |      69 |      61 |            21 |       992
      660 |     +0.4% |      69 |      67 |            22 |       982
      670 |     +0.4% |      69 |      67 |            22 |       972
      680 |     +0.3% |      71 |      67 |            22 |       962
      690 |     +0.9% |      72 |      78 |            23 |       952
      700 |     +0.9% |      73 |      78 |            23 |       942
      710 |     +1.3% |      75 |      83 |            24 |       932
      720 |     +2.4% |      79 |      97 |            28 |       922
      730 |     +2.4% |      79 |      97 |            28 |       912
      740 |     +2.9% |      79 |     103 |            29 |       902
      750 |     +2.9% |      79 |     103 |            29 |       892
      760 |     +2.9% |      79 |     103 |            29 |       882
      770 |     +3.0% |      82 |     103 |            30 |       872
      780 |     +3.3% |      82 |     106 |            32 |       862
      790 |     +3.4% |      83 |     106 |            32 |       852
      800 |     +3.4% |      83 |     106 |            32 |       842
      810 |     +3.4% |      83 |     106 |            32 |       832
      820 |     +3.4% |      83 |     106 |            32 |       822
      830 |     +3.4% |      83 |     106 |            32 |       812
      840 |     +3.4% |      83 |     106 |            32 |       802
      850 |     +3.4% |      84 |     106 |            32 |       792
      860 |     +3.4% |      84 |     106 |            32 |       782
      870 |     +3.4% |      84 |     106 |            32 |       772
      880 |     +3.6% |      85 |     108 |            34 |       762
      890 |     +3.6% |      85 |     108 |            34 |       752
      900 |     +4.8% |      85 |     128 |            35 |       742
      910 |     +4.8% |      85 |     128 |            35 |       732
      920 |     +4.8% |      85 |     128 |            35 |       722
      930 |     +4.8% |      85 |     128 |            35 |       712
      940 |     +4.8% |      85 |     128 |            35 |       702
      950 |     +4.5% |      88 |     128 |            35 |       692
      960 |     +3.6% |      98 |     128 |            35 |       682
      970 |     +2.6% |     108 |     128 |            35 |       672
      980 |     +1.7% |     118 |     128 |            35 |       662
      990 |     +0.7% |     128 |     128 |            35 |       652
     1000 |     -0.2% |     138 |     128 |            35 |       642
     1010 |     -1.1% |     147 |     128 |            35 |       632
     1020 |     -1.1% |     147 |     128 |            35 |       622
     1030 |     -1.1% |     147 |     128 |            35 |       612
     1040 |     -1.1% |     147 |     128 |            35 |       602
     1050 |     -1.1% |     147 |     128 |            35 |       592
     1060 |     -1.1% |     147 |     128 |            35 |       582
     1070 |     -1.1% |     147 |     128 |            35 |       572
     1080 |     -1.1% |     147 |     128 |            35 |       562
     1090 |     -1.1% |     147 |     128 |            35 |       552
     1100 |     -1.1% |     147 |     128 |            35 |       542
     1110 |     -1.1% |     147 |     128 |            35 |       532
     1120 |     -1.1% |     147 |     128 |            35 |       522
     1130 |     -1.1% |     147 |     128 |            35 |       512
     1140 |     -1.1% |     147 |     128 |            35 |       502
     1150 |     -1.1% |     147 |     128 |            35 |       492
     1160 |     -1.1% |     147 |     128 |            35 |       482
     1170 |     -1.1% |     147 |     128 |            35 |       472
     1180 |     -1.1% |     147 |     128 |            35 |       462
     1190 |     -1.1% |     147 |     128 |            35 |       452
     1200 |     -1.1% |     147 |     128 |            35 |       442
     1210 |     -1.1% |     147 |     128 |            35 |       432
     1220 |     -1.1% |     147 |     128 |            35 |       422
     1230 |     -1.1% |     147 |     128 |            35 |       412
     1240 |     -1.1% |     147 |     128 |            35 |       402
     1250 |     -1.1% |     147 |     128 |            35 |       392
     1260 |     -1.1% |     147 |     128 |            35 |       382
     1270 |     -1.1% |     148 |     128 |            35 |       372
     1280 |     -1.1% |     148 |     128 |            35 |       362
     1290 |     -1.1% |     148 |     128 |            35 |       352
     1300 |     -1.1% |     148 |     128 |            35 |       342
     1310 |     -1.1% |     148 |     128 |            35 |       332
     1320 |     -1.1% |     148 |     128 |            35 |       322
     1330 |     -1.1% |     148 |     128 |            35 |       312
     1340 |     -1.1% |     148 |     128 |            35 |       302
     1350 |     -1.1% |     148 |     128 |            35 |       292
     1360 |     -1.1% |     148 |     128 |            35 |       282
     1370 |     -1.1% |     148 |     128 |            35 |       272
     1380 |     -1.1% |     148 |     128 |            35 |       262
     1390 |     -1.1% |     148 |     128 |            35 |       252
     1400 |     -1.1% |     148 |     128 |            35 |       242
     1410 |     -1.1% |     148 |     128 |            35 |       232
     1420 |     -1.2% |     149 |     128 |            35 |       222
     1430 |     -1.2% |     149 |     128 |            35 |       212
     1440 |     -1.2% |     149 |     128 |            35 |       202
     1450 |     -1.3% |     150 |     128 |            35 |       192
     1460 |     +5.6% |     150 |     238 |            36 |       182
     1470 |     +5.6% |     150 |     238 |            36 |       172
     1480 |     +5.6% |     150 |     238 |            36 |       162
     1490 |     +5.6% |     150 |     238 |            36 |       152
     1500 |     +5.6% |     150 |     238 |            36 |       142
     1510 |     +5.6% |     150 |     238 |            36 |       132
     1520 |     +5.6% |     150 |     238 |            36 |       122
     1530 |     +5.6% |     150 |     238 |            36 |       112
     1540 |     +5.6% |     150 |     238 |            36 |       102
     1550 |     +5.6% |     150 |     238 |            36 |        92
     1560 |     +5.6% |     150 |     238 |            36 |        82
     1570 |     +5.6% |     150 |     238 |            36 |        72
     1580 |     +5.6% |     150 |     238 |            36 |        62
     1590 |     +5.6% |     150 |     238 |            36 |        52
     1600 |     +5.6% |     150 |     238 |            36 |        42
     1610 |     +5.6% |     150 |     238 |            36 |        32
     1620 |     +5.6% |     150 |     238 |            36 |        22
     1630 |     +5.6% |     150 |     238 |            36 |        12
     1640 |     +5.6% |     150 |     238 |            36 |         2
    final |     +5.6% |     150 |     238 |            36 |         0
---------------------------------------------------------------------
[INFO RSZ-0034] Found 167 slew violations.
[INFO RSZ-0035] Found 22 fanout violations.
[INFO RSZ-0039] Resized 150 instances.
[INFO RSZ-0038] Inserted 238 buffers in 36 nets.
[INFO RSZ-0042] Inserted 32 tie gf180mcu_fd_sc_mcu7t5v0__tiel instances.
[INFO RSZ-0042] Inserted 1 tie gf180mcu_fd_sc_mcu7t5v0__tieh instances.
[WARNING RSZ-0020] found 2 floating nets.
 VDD
 VSS
+ detailed_placement -max_displacement  500 100 
Placement Analysis
---------------------------------
total displacement      17724.3 u
average displacement        6.2 u
max displacement           87.0 u
original HPWL           63698.8 u
legalized HPWL          76833.3 u
delta HPWL                   21 %

[INFO DPL-0020] Mirrored 678 instances
[INFO DPL-0021] HPWL before           76833.3 u
[INFO DPL-0022] HPWL after            74539.8 u
[INFO DPL-0023] HPWL delta               -3.0 %
Setting global connections for newly added cells…
[INFO] Setting global connections...
[INFO ODB-0403] 1964 connections made, 0 conflicts skipped.
Updating metrics…
Cell type report:                       Count       Area
  Endcap cell                             194     851.74
  Tap cell                                942    4135.76
  Tie cell                                 33     289.77
  Timing Repair Buffer                    458   18878.72
  Inverter                                 69     605.88
  Sequential cell                         339   25459.93
  Multi-Input combinational cell          843   18632.86
  Total                                  2878   68854.64
Writing OpenROAD database to '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/32-openroad-repairdesignpostgpl/udma_uart_top.odb'…
Writing netlist to '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/32-openroad-repairdesignpostgpl/udma_uart_top.nl.v'…
Writing powered netlist to '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/32-openroad-repairdesignpostgpl/udma_uart_top.pnl.v'…
Writing layout to '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/32-openroad-repairdesignpostgpl/udma_uart_top.def'…
Writing timing constraints to '/home/sahana/core5_udma/hardening/uart_top/runs/TRIAL_11/32-openroad-repairdesignpostgpl/udma_uart_top.sdc'…
