Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_664,VDD,Metal1,381.3065,395.3430,4.499979
FILLER_96_648,VDD,Metal1,374.6880,395.2280,4.499979
FILLER_96_614,VDD,Metal1,360.1955,395.1510,4.499979
FILLER_96_580,VDD,Metal1,341.1555,395.1510,4.499979
FILLER_96_546,VDD,Metal1,322.1155,395.1510,4.499979
FILLER_96_512,VDD,Metal1,303.0755,395.1510,4.499978
FILLER_96_508,VDD,Metal1,291.7600,395.9200,4.499977
FILLER_96_504,VDD,Metal1,290.4600,395.4875,4.499977
FILLER_96_474,VDD,Metal1,272.7200,395.9200,4.499975
FILLER_96_433,VDD,Metal1,249.4800,395.9200,4.499973
FILLER_96_429,VDD,Metal1,248.4600,395.4875,4.499973
FILLER_96_412,VDD,Metal1,237.7200,395.9200,4.499972
FILLER_96_410,VDD,Metal1,236.8800,395.9200,4.499972
FILLER_96_367,VDD,Metal1,212.5200,395.9200,4.499972
FILLER_96_344,VDD,Metal1,199.6400,395.9200,4.499974
FILLER_96_342,VDD,Metal1,198.8000,395.9200,4.499974
FILLER_96_308,VDD,Metal1,179.7600,395.9200,4.499976
FILLER_96_289,VDD,Metal1,168.8400,395.9200,4.499977
FILLER_96_240,VDD,Metal1,150.7555,395.1510,4.499977
FILLER_96_206,VDD,Metal1,131.7155,395.1510,4.499978
FILLER_96_172,VDD,Metal1,112.6755,395.1510,4.499979
FILLER_96_138,VDD,Metal1,93.6355,395.1510,4.499979
FILLER_96_104,VDD,Metal1,74.5955,395.1510,4.499980
FILLER_96_70,VDD,Metal1,55.5555,395.1510,4.499981
FILLER_96_36,VDD,Metal1,36.5155,395.1510,4.499981
FILLER_96_33,VDD,Metal1,25.4800,395.9200,4.499982
FILLER_96_25,VDD,Metal1,23.4665,395.3430,4.499982
FILLER_96_16,VDD,Metal1,15.9600,395.9200,4.499982
FILLER_96_14,VDD,Metal1,15.1200,395.9200,4.499982
FILLER_96_10,VDD,Metal1,13.8200,395.4875,4.499982
FILLER_96_2,VDD,Metal1,10.5865,395.3430,4.499982
FILLER_95_668,VDD,Metal1,381.3600,388.0800,4.499900
FILLER_95_664,VDD,Metal1,380.0600,388.5125,4.499900
FILLER_95_632,VDD,Metal1,370.2755,388.8485,4.499900
