Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,7098
design__instance__area,145647
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,2
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.044087208807468414
power__switching__total,0.012847734615206718
power__leakage__total,8.06492039373552E-7
power__total,0.05693574994802475
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.28065525697833477
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.2802516908974699
timing__hold__ws__corner:nom_tt_025C_5v00,0.3443512239487548
timing__setup__ws__corner:nom_tt_025C_5v00,6.462787821163938
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.344351
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,11.267876
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,91
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,2
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.3018107793554911
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.3014992507659706
timing__hold__ws__corner:nom_ss_125C_4v50,0.8903302791467137
timing__setup__ws__corner:nom_ss_125C_4v50,-1.2391226173641772
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-10.18684898601663
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-1.2391226173641772
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.890330
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,10
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,4.069145
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,2
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.27098515864920936
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.27053773875763154
timing__hold__ws__corner:nom_ff_n40C_5v50,0.11209000711541957
timing__setup__ws__corner:nom_ff_n40C_5v50,9.927148273286734
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.112090
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,14.427500
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,103
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26816524759806015
clock__skew__worst_setup,0.26816524759806015
timing__hold__ws,0.11142198590260968
timing__setup__ws,-1.6999575561725682
timing__hold__tns,0.0
timing__setup__tns,-14.601690936327708
timing__hold__wns,0
timing__setup__wns,-1.6999575561725682
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111422
timing__hold_r2r_vio__count,0
timing__setup_vio__count,30
timing__setup_r2r__ws,3.790412
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 396.635 414.555
design__core__bbox,6.72 15.68 389.76 395.92
design__io,281
design__die__area,164427
design__core__area,145647
design__instance__count__stdcell,3033
design__instance__area__stdcell,72110.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.495102
design__instance__utilization__stdcell,0.495102
design__rows,97
design__rows:GF018hv5v_mcu_sc7,97
design__sites,66348
design__sites:GF018hv5v_mcu_sc7,66348
design__instance__count__class:tie_cell,33
design__instance__area__class:tie_cell,289.766
design__instance__count__class:inverter,69
design__instance__area__class:inverter,605.875
design__instance__count__class:sequential_cell,339
design__instance__area__class:sequential_cell,25455.5
design__instance__count__class:multi_input_combinational_cell,843
design__instance__area__class:multi_input_combinational_cell,17713.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,194
design__instance__area__class:endcap_cell,851.738
design__instance__count__class:tap_cell,942
design__instance__area__class:tap_cell,4135.76
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,279
design__io__hpwl,63514028
design__max_slew_violation__count__corner:max_ss_125C_4v50,103
design__max_fanout_violation__count__corner:max_ss_125C_4v50,2
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.3105593370369634
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.308611339662863
timing__hold__ws__corner:max_ss_125C_4v50,0.8915926027614134
timing__setup__ws__corner:max_ss_125C_4v50,-1.6999575561725682
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-14.601690936327708
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-1.6999575561725682
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.891593
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,10
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.790412
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,82125.2
design__violations,0
design__instance__count__class:timing_repair_buffer,492
design__instance__area__class:timing_repair_buffer,13136.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,119
design__instance__area__class:clock_buffer,9913.52
design__instance__count__setup_buffer,0
