net,length_um
net46,239.37µm
net45,218.09µm
net36,171.76µm
clknet_2_2__leaf_clk_i,150.23µm
net44,145.85µm
net43,135.52µm
clknet_2_1__leaf_clk_i,129µm
clknet_2_0__leaf_clk_i,120.09µm
clknet_2_3__leaf_clk_i,117.34µm
clk_i,115.78µm
CS\[2\],111.69µm
net35,103.75µm
CS\[1\],76.92µm
net37,75.75µm
_115_,74.02µm
baud_cnt\[0\],71.73µm
CS\[0\],69.64µm
baud_cnt\[4\],66.74µm
_079_,65.01µm
net40,64.96µm
_033_,64.14µm
reg_data\[0\],62.87µm
baud_cnt\[14\],62.31µm
_091_,60.53µm
_104_,59.61µm
baud_cnt\[8\],57.78µm
_066_,57.17µm
clknet_0_clk_i,56.61µm
_071_,54.42µm
net31,51.11µm
_051_,49.28µm
baud_cnt\[10\],47.09µm
net12,45.97µm
_041_,45.92µm
net10,44.85µm
baud_cnt\[9\],44.29µm
net8,44.24µm
net11,44.24µm
net38,42.76µm
_088_,42.66µm
_061_,42.61µm
baud_cnt\[6\],42.61µm
_064_,42.05µm
net23,42.05µm
baud_cnt\[11\],42µm
baud_cnt\[3\],39.4µm
reg_data\[5\],38.69µm
net42,37.67µm
_017_,37.06µm
baud_cnt\[15\],37.06µm
_054_,36.5µm
_034_,35.89µm
_137_,35.84µm
tx_data_i[7],35.7µm
_075_,34.82µm
net41,34.82µm
_125_,33.65µm
_042_,33.6µm
_105_,33.04µm
_062_,31.36µm
reg_data\[3\],31.36µm
tx_data_i[4],30.66µm
net39,30.29µm
tx_data_i[6],30.1µm
cfg_div_i[12],28.765µm
cfg_div_i[14],28.765µm
cfg_div_i[8],28.765µm
_082_,27.49µm
baud_cnt\[2\],27.49µm
tx_data_i[5],27.3µm
baud_cnt\[1\],26.98µm
_122_,26.93µm
net4,26.88µm
_070_,26.42µm
net20,25.86µm
parity_bit,25.3µm
_035_,25.25µm
_046_,25.25µm
_043_,25.2µm
reg_bit_count\[1\],24.74µm
cfg_div_i[10],24.285µm
_018_,24.13µm
reg_data\[6\],24.13µm
_045_,24.08µm
_058_,24.08µm
cfg_div_i[15],23.855µm
_136_,23.62µm
net16,23.57µm
tx_data_i[0],23.38µm
tx_data_i[3],23.38µm
_095_,23.06µm
_049_,23.01µm
baud_cnt\[5\],22.55µm
baud_cnt\[12\],22.5µm
net7,22.4µm
cfg_div_i[13],22.045µm
net29,21.89µm
_055_,21.84µm
_101_,21.38µm
_123_,21.38µm
cfg_parity_en_i,20.925µm
baud_cnt\[13\],20.92µm
net32,20.82µm
cfg_div_i[3],20.58µm
cfg_div_i[0],20.02µm
rstn_i,19.805µm
net24,19.6µm
_007_,19.09µm
_063_,19.04µm
_011_,18.53µm
_074_,18.48µm
tx_data_i[1],18.34µm
tx_data_i[2],17.78µm
reg_data\[4\],17.41µm
_068_,16.9µm
_098_,16.9µm
_031_,16.85µm
baud_cnt\[7\],16.85µm
_056_,16.8µm
net22,16.8µm
_083_,16.29µm
_050_,16.24µm
_090_,16.24µm
_092_,16.24µm
_134_,16.24µm
net25,16.24µm
_036_,15.73µm
reg_data\[2\],14.66µm
_012_,14.61µm
_065_,14.61µm
_116_,14.61µm
cfg_en_i,14.205µm
_118_,14.1µm
bit_done,14.1µm
_121_,14.05µm
net30,14.05µm
_044_,14µm
_126_,14µm
_004_,13.49µm
_020_,13.49µm
_080_,13.49µm
_107_,13.49µm
_124_,13.49µm
_039_,13.44µm
_087_,13.44µm
_102_,13.44µm
cfg_div_i[2],13.3µm
cfg_bits_i[1],13.085µm
tx_ready_o,13.085µm
reg_data\[1\],12.98µm
_021_,12.88µm
