Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_230,VDD,Metal1,136.0800,145.0400,4.999991
FILLER_32_222,VDD,Metal1,133.7865,144.4630,4.999991
FILLER_32_206,VDD,Metal1,127.1680,144.3480,4.999991
FILLER_32_172,VDD,Metal1,112.6755,144.2710,4.999991
FILLER_32_138,VDD,Metal1,93.6355,144.2710,4.999991
FILLER_32_70,VDD,Metal1,51.0080,144.3480,4.999992
FILLER_32_36,VDD,Metal1,36.5155,144.2710,4.999993
FILLER_32_2,VDD,Metal1,17.4755,144.2710,4.999994
FILLER_31_228,VDD,Metal1,135.9000,137.6325,4.999962
FILLER_31_212,VDD,Metal1,130.5280,137.8920,4.999962
FILLER_31_206,VDD,Metal1,123.5800,137.6325,4.999962
FILLER_31_142,VDD,Metal1,104.8750,138.0140,4.999962
FILLER_31_139,VDD,Metal1,84.8400,137.2000,4.999962
FILLER_31_135,VDD,Metal1,83.8200,137.6325,4.999962
FILLER_31_117,VDD,Metal1,72.8000,137.2000,4.999962
FILLER_31_84,VDD,Metal1,54.0400,137.2000,4.999963
FILLER_31_80,VDD,Metal1,53.0200,137.6325,4.999963
FILLER_31_72,VDD,Metal1,49.7865,137.7765,4.999963
FILLER_31_68,VDD,Metal1,45.3600,137.2000,4.999964
FILLER_31_64,VDD,Metal1,44.0600,137.6325,4.999964
FILLER_31_48,VDD,Metal1,38.6880,137.8920,4.999964
FILLER_31_10,VDD,Metal1,13.8200,137.6325,4.999964
FILLER_31_2,VDD,Metal1,10.5865,137.7765,4.999964
FILLER_30_231,VDD,Metal1,136.3600,137.2000,4.999962
FILLER_30_229,VDD,Metal1,135.5200,137.2000,4.999962
FILLER_30_225,VDD,Metal1,134.2200,136.7675,4.999962
FILLER_30_209,VDD,Metal1,128.8480,136.5080,4.999962
FILLER_30_177,VDD,Metal1,115.4755,136.4310,4.999962
FILLER_30_171,VDD,Metal1,103.9800,136.7675,4.999962
FILLER_30_163,VDD,Metal1,100.7465,136.6230,4.999962
FILLER_30_131,VDD,Metal1,89.7155,136.4310,4.999962
FILLER_30_115,VDD,Metal1,72.6200,136.7675,4.999962
FILLER_30_104,VDD,Metal1,65.2400,137.2000,4.999962
FILLER_30_102,VDD,Metal1,64.4000,137.2000,4.999963
FILLER_30_86,VDD,Metal1,56.3800,136.7675,4.999963
FILLER_30_73,VDD,Metal1,47.8800,137.2000,4.999964
FILLER_30_69,VDD,Metal1,46.8600,136.7675,4.999964
FILLER_30_37,VDD,Metal1,37.0755,136.4310,4.999964
FILLER_30_34,VDD,Metal1,26.0400,137.2000,4.999965
FILLER_30_32,VDD,Metal1,25.2000,137.2000,4.999965
FILLER_30_28,VDD,Metal1,23.9000,136.7675,4.999965
FILLER_30_18,VDD,Metal1,18.3000,136.7675,4.999964
FILLER_30_2,VDD,Metal1,12.9280,136.5080,4.999964
FILLER_29_228,VDD,Metal1,135.9000,129.7925,4.999808
FILLER_29_212,VDD,Metal1,130.5280,130.0520,4.999808
FILLER_29_206,VDD,Metal1,123.5800,129.7925,4.999808
FILLER_29_142,VDD,Metal1,104.8750,130.1740,4.999808
FILLER_29_139,VDD,Metal1,84.8400,129.3600,4.999808
FILLER_29_137,VDD,Metal1,84.0000,129.3600,4.999808
FILLER_29_127,VDD,Metal1,78.4000,129.3600,4.999810
FILLER_29_123,VDD,Metal1,77.1000,129.7925,4.999810
FILLER_29_78,VDD,Metal1,50.6800,129.3600,4.999852
FILLER_29_76,VDD,Metal1,49.8400,129.3600,4.999852
FILLER_29_72,VDD,Metal1,48.5400,129.7925,4.999852
FILLER_29_69,VDD,Metal1,45.6400,129.3600,4.999852
FILLER_29_67,VDD,Metal1,44.8000,129.3600,4.999852
FILLER_29_63,VDD,Metal1,43.5000,129.7925,4.999852
FILLER_29_55,VDD,Metal1,40.2665,129.9365,4.999852
FILLER_29_46,VDD,Metal1,32.7600,129.3600,4.999858
FILLER_29_42,VDD,Metal1,31.7400,129.7925,4.999859
FILLER_29_6,VDD,Metal1,10.6400,129.3600,4.999859
FILLER_29_2,VDD,Metal1,9.3400,129.7925,4.999859
FILLER_28_231,VDD,Metal1,136.3600,129.3600,4.999808
FILLER_28_229,VDD,Metal1,135.5200,129.3600,4.999808
FILLER_28_225,VDD,Metal1,134.2200,128.9275,4.999808
FILLER_28_209,VDD,Metal1,128.8480,128.6680,4.999808
FILLER_28_177,VDD,Metal1,115.4755,128.5910,4.999808
FILLER_28_174,VDD,Metal1,104.4400,129.3600,4.999808
FILLER_28_170,VDD,Metal1,103.4200,128.9275,4.999808
FILLER_28_162,VDD,Metal1,100.1865,128.7830,4.999808
FILLER_28_111,VDD,Metal1,69.1600,129.3600,4.999816
FILLER_28_107,VDD,Metal1,68.1400,128.9275,4.999851
FILLER_28_101,VDD,Metal1,64.7800,128.9275,4.999851
FILLER_28_45,VDD,Metal1,32.2000,129.3600,4.999859
FILLER_28_10,VDD,Metal1,13.8200,128.9275,4.999859
FILLER_28_2,VDD,Metal1,10.5865,128.7830,4.999859
FILLER_27_212,VDD,Metal1,126.9400,121.9525,4.999826
