Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_230,VSS,Metal1,136.0800,141.1200,0.000042
FILLER_32_222,VSS,Metal1,132.7730,141.5815,0.000042
FILLER_32_206,VSS,Metal1,125.9520,141.6680,0.000042
FILLER_32_172,VSS,Metal1,111.3240,141.7175,0.000042
FILLER_32_138,VSS,Metal1,92.2840,141.7175,0.000042
FILLER_32_70,VSS,Metal1,49.7920,141.6680,0.000039
FILLER_32_36,VSS,Metal1,35.1640,141.7175,0.000038
FILLER_32_2,VSS,Metal1,16.1240,141.7175,0.000038
FILLER_31_228,VSS,Metal1,135.1400,140.7710,0.000042
FILLER_31_212,VSS,Metal1,129.3120,140.5720,0.000042
FILLER_31_206,VSS,Metal1,122.8200,140.7710,0.000042
FILLER_31_142,VSS,Metal1,103.4445,140.4820,0.000042
FILLER_31_139,VSS,Metal1,84.8400,141.1200,0.000042
FILLER_31_135,VSS,Metal1,83.0600,140.7710,0.000042
FILLER_31_117,VSS,Metal1,72.8000,141.1200,0.000042
FILLER_31_84,VSS,Metal1,54.0400,141.1200,0.000039
FILLER_31_80,VSS,Metal1,52.2600,140.7710,0.000039
FILLER_31_72,VSS,Metal1,48.7730,140.6580,0.000039
FILLER_31_68,VSS,Metal1,45.3600,141.1200,0.000039
FILLER_31_64,VSS,Metal1,43.3000,140.7710,0.000038
FILLER_31_48,VSS,Metal1,37.4720,140.5720,0.000038
FILLER_31_10,VSS,Metal1,13.0600,140.7710,0.000038
FILLER_31_2,VSS,Metal1,9.5730,140.6580,0.000038
FILLER_30_231,VSS,Metal1,136.3600,133.2800,0.000058
FILLER_30_229,VSS,Metal1,135.5200,133.2800,0.000058
FILLER_30_225,VSS,Metal1,133.4600,133.6285,0.000058
FILLER_30_209,VSS,Metal1,127.6320,133.8280,0.000058
FILLER_30_177,VSS,Metal1,114.1240,133.8775,0.000058
FILLER_30_171,VSS,Metal1,103.2200,133.6285,0.000058
FILLER_30_163,VSS,Metal1,99.7330,133.7415,0.000058
FILLER_30_131,VSS,Metal1,88.3640,133.8775,0.000058
FILLER_30_115,VSS,Metal1,71.8600,133.6285,0.000058
FILLER_30_104,VSS,Metal1,65.2400,133.2800,0.000057
FILLER_30_102,VSS,Metal1,64.4000,133.2800,0.000057
